location,store,item,price,category
degree,anapurna,egg friedrice,120,veg
degree,anapurna,chicken roasted friedrice,170,non veg
degree,anapurna,prawn friedrice,190,non veg
degree,anapurna,mixed friedrice,200,non veg
degree,anapurna,sp friedrice,190,non veg
degree,anapurna,veg noodles,100,veg
degree,anapurna,egg noodles,110,veg
degree,anapurna,chicken noodles,130,non veg
degree,anapurna,meals,76,veg
degree,anapurna,egg omlet single,20,veg
degree,anapurna,egg omlet double,35,veg
degree,anapurna,egg 65,100,veg
degree,anapurna,egg manchuria,100,veg
degree,anapurna,chicken 65,170,non veg
degree,anapurna,chicken spring roll,170,non veg
degree,anapurna,chicken manchuria,170,non veg
degree,anapurna,chicken kabab,60,non veg
degree,anapurna,chilli chicken,170,non veg
degree,anapurna,lemon chicken,170,non veg
degree,anapurna,peper chicken,170,non veg
degree,anapurna,chicken pakodi,170,non veg
degree,anapurna,veg manchuria,100,veg
degree,anapurna,veg cutlet,100,veg
degree,anapurna,onion pakodi,30,veg
